"Asset_ID","Canonical_Name","Alias","Operator","Company Type","Status","Total Space (sqft)","Colocation Space (sqft)","Power Capacity (MW)","Acre","street_address","city","state","postal_code","latitude","longitude","estimated_mw","Modified","Created"
"DC-10138","CHI2 Chicago Aurora Data Center","CHI2 Chicago Aurora Data Center","CyrusOne",,"[""Operational""]","428,000","240,000","50","0","2805 Diehl Rd","Aurora","IL",,"41.79697135","-88.24468887","50.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10137","Seattle (SE1-Lynnwood) Data Center","Seattle (SE1-Lynnwood) Data Center","Csquare",,"[""Operational""]","103,920","62,395","20","0","17300 Hwy 99","Lynnwood","WA","98037","47.84181502","-122.301683","20.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10136","Atlanta - Alpharetta Data Center","Atlanta - Alpharetta Data Center","Flexential",,"[""Operational""]","0","0","6","0","12655 Edison Drive","Alpharetta","GA",,"34.08713781","-84.25194406","6.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10135","DC7 Vienna Data Center","DC7 Vienna Data Center","Equinix","[""Carrier Neutral/Real Estate""]","[""Operational""]","44,382","27,356","2","0","7990 Science Applications Court","Vienna","VA",,"38.90895912","-77.22080403","2.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10134","Northern Virginia IAD39 Data Center","Northern Virginia IAD39 Data Center","Digital Realty","[""Carrier Neutral/Real Estate""]","[""Operational""]","1,057,000","0","0","0","44274 Round Table Plaza bldg l","Ashburn","VA","20147","39.0078191","-77.46765099","64.7","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10133","SV4 Sunnyvale Data Center","SV4 Sunnyvale Data Center","Equinix","[""Carrier Neutral/Real Estate""]","[""Operational""]","120,000","67,622","8","0","255 Caspian Drive","Sunnyvale","CA",,"37.41463506","-122.0145369","8.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10132","Eagle Mountain Utah Data Center","Eagle Mountain Utah Data Center","Meta","[""Hyperscale""]","[""Operational""]","970,000","0","0","0","1275 N Community Cir, Eagle Mountain","Utah",,,"40.26554789","-112.015002","59.4","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10131","West US-California","West US-California","Microsoft","[""Hyperscale""]","[""Operational""]","0","0","0","0","Fresno",,"CA",,"36.731654","-119.785856","1.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10130","ATL01-01 Data Center","ATL01-01 Data Center","Edged",,"[""Operational""]","208,000","0","24","0","1800 Thomas Street Northwest","Atlanta","GA","30318","33.80098439","-84.43834962","24.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10129","Phoenix ( PHX1 - Mesa) Data Center","Phoenix ( PHX1 - Mesa) Data Center","Csquare",,"[""Operational""]","154,158","73,500","14","0","1301 West University Drive","Mesa","AZ",,"33.42164156","-111.8586063","14.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10128","Berkeley County, SC Data Center","Berkeley County, SC Data Center","Google","[""Hyperscale""]","[""Operational""]","0","0","0","0","200-220 State Road S-8-934",,,,"40.076146","-87.958367","1.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10127","Cincinnati Data Center - Flexential","Cincinnati Data Center - Flexential","Flexential",,"[""Operational""]","43,551","16,000","0","0","5307 Muhlhauser Rd, Hamilton","West Chester Township","OH","45011","39.31616581","-84.44977483","1.7","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10126","SEA3-A Lynnwood  Data Center","SEA3-A Lynnwood  Data Center","Csquare",,"[""Operational""]","103","103","1","0","17300 Hwy 99","Lynnwood","WA","98037","47.84181502","-122.301683","1.0","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
"DC-10125","DA11 Dallas IBX Data Center","DA11 Dallas IBX Data Center","Equinix","[""Carrier Neutral/Real Estate""]","[""Operational""]","144,560","0","0","0","1990 North Stemmons Freeway, Dallas","U.S.","TX","75207","32.80181629","-96.82082882","8.9","2/7/2026 7:23 PM","2/7/2026 7:23 PM"
